,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
12,CHAS=0.0,2.8893408848684576e-05,,,,,,,
13,CHAS=1.0,0.00029207528701489534,,,,,,,
1,ZN,0.0005095853825136003,11.561904504492452,-0.019321886753803533,0.058194482008400605,0.03128749749059326,0.06778071566560818,0.0,0.04796638558104149
7,RAD,0.0032215449583333543,4.289541828805091,-1.147797776026171,0.1053870378262111,1.1506683559790478,0.10847637619135328,0.5954398356849584,0.0
2,INDUS,0.003526009381384869,3.443039676613363,0.18812426385585873,0.02874976280936633,0.2805301674033845,0.1961111926220419,0.019957582980932642,0.01118655655919909
10,B,0.014764983019759322,45.72656881574895,-0.25084956243869455,0.08474066833768439,0.4550732484008008,0.4255953795396505,0.252134230015459,0.1901901622636899
8,TAX,0.019422468834567698,82.98343425017102,1.6343221682073543,-0.5312368372465059,1.6592007706500986,0.567676275167793,0.14708323911394672,0.24157607437478212
9,PTRATIO,0.019721617858958658,1.1129704632793018,0.522518351706184,-0.26814051214618867,0.607366373693591,0.4879153623957491,0.5568680793900977,0.4105073414154812
0,CRIM,0.02520636692980404,4.432033718258579,-0.7883059003369147,0.24337092174514235,1.101780029811858,0.6366651985692512,0.7676461411433007,0.4182760449512646
5,AGE,0.02572249068581549,13.980126746690955,0.15027337042635275,-0.27701088089062786,0.6496285510150859,0.5467649555012414,0.4570960606824599,0.3711214572650494
3,NOX,0.03309540161321629,0.05877935520360989,0.19630671067241254,-0.15914833936553402,0.7954299449534258,0.6247601782715134,0.5680696551725717,0.17266242004914645
6,DIS,0.05982535121509638,1.0642935686250505,3.934074813093407,-0.2593775851218396,4.076853164099464,0.8627541184451993,1.036310760583703,0.5090462302497478
4,RM,0.22690530234774464,0.3542865889835718,-1.114264561681018,1.4605492260199284,1.2531361824051424,1.74860323544959,0.7658854133478625,1.23876745948297
11,LSTAT,0.567757909076942,3.5507877966079993,2.3625702219070956,-2.0132607253322066,2.460532921933394,2.0832731199102525,1.8531542145801794,1.4399146734211534
